"","year","sl"
"1",1879,-15.2674657534247
"2",1880,-9.52254098360656
"3",1881,-14.9989726027397
"4",1882,-11.0126712328767
"5",1883,-16.0095890410959
"6",1884,-13.2274590163934
"7",1885,-13.3777397260274
"8",1886,-14.9178082191781
"9",1887,-12.3599315068493
"10",1888,-14.608606557377
"11",1889,-11.8917808219178
"12",1890,-13.7565068493151
"13",1891,-10.9547945205479
"14",1892,-11.3179644808743
"15",1893,-7.34109589041096
"16",1894,-10.0756849315068
"17",1895,-10.5770547945205
"18",1896,-10.8944672131148
"19",1897,-10.4445205479452
"20",1898,-4.78287671232877
"21",1899,-7.96815068493151
"22",1900,-9.81541095890411
"23",1901,-11.0928082191781
"24",1902,-16.5876712328767
"25",1903,-3.15890410958904
"26",1904,-12.2742486338798
"27",1905,-18.3537671232877
"28",1906,-10.9794520547945
"29",1907,-12.7308219178082
"30",1908,-11.0546448087432
"31",1909,-6.05719178082192
"32",1910,-5.13184931506849
"33",1911,-4.07602739726027
"34",1912,2.50375683060109
"35",1913,-2.7708904109589
"36",1914,-2.36095890410959
"37",1915,-6.53150684931507
"38",1916,0.69672131147541
"39",1917,-5.91643835616438
"40",1918,-7.51232876712329
"41",1919,-8.96061643835616
"42",1920,-7.0266393442623
"43",1921,-1.00890410958904
"44",1922,-6.23321917808219
"45",1923,-3.98013698630137
"46",1924,-7.48599726775956
"47",1925,-0.5
"48",1926,-1.6513698630137
"49",1927,-3.97602739726027
"50",1928,-3.01741803278689
"51",1929,-7.18047945205479
"52",1930,-4.98869863013699
"53",1931,-1.81198630136986
"54",1932,-2.84289617486339
"55",1933,-8.67431506849315
"56",1934,-5.9527397260274
"57",1935,-1.64931506849315
"58",1936,-0.767418032786885
"59",1937,-4.38972602739726
"60",1938,-0.166095890410959
"61",1939,-6.02328767123288
"62",1940,-3.87465846994536
"63",1941,-9.05171232876712
"64",1942,-6.92979452054795
"65",1943,-0.180479452054795
"66",1944,2.86748633879781
"67",1945,2.97671232876712
"68",1946,0.397945205479452
"69",1947,-10.5527397260274
"70",1948,-0.209699453551913
"71",1949,2.06027397260274
"72",1950,-1.29315068493151
"73",1951,-3.84691780821918
"74",1952,0.929644808743169
"75",1953,-1.86061643835616
"76",1954,-0.975
"77",1955,1.23356164383562
"78",1956,-3.16051912568306
"79",1957,-1.31198630136986
"80",1958,-2.36815068493151
"81",1959,-5.52842465753425
"82",1960,-0.321379781420765
"83",1961,9.32191780821918
"84",1962,1.9972602739726
"85",1963,-2.30753424657534
"86",1964,-0.683401639344262
"87",1965,0.802054794520548
"88",1966,3.84623287671233
"89",1967,11.0691780821918
"90",1968,4.50034153005465
"91",1969,1.98013698630137
"92",1970,6.96609589041096
"93",1971,3.43972602739726
"94",1972,-4.92042349726776
"95",1973,4.31689497716895
"96",1974,4.29189497716895
"97",1975,1.45490867579909
"98",1976,-1.3747723132969
"99",1977,2.33561643835616
"100",1978,2.25114155251142
"101",1979,0.842009132420091
"102",1980,5.32331511839709
"103",1981,11.471803652968
"104",1982,8.66952054794521
"105",1983,13.6418949771689
"106",1984,3.8620218579235
"107",1985,5.48664383561644
"108",1986,2.65342465753425
"109",1987,3.1177701674277
"110",1988,11.9748785670917
"111",1989,8.29164764079148
"112",1990,13.1269786910198
"113",1991,1.64377853881279
"114",1992,6.53466530054645
"115",1993,6.22891933028919
"116",1994,10.0975266362253
"117",1995,11.3540334855403
"118",1996,-2.95009866423801
"119",1997,4.72526636225266
"120",1998,13.8399733637747
"121",1999,13.0662290715373
"122",2000,12.5373406193078
"123",2001,13.4137937595129
"124",2002,11.4285578386606
"125",2003,9.38649162861492
"126",2004,12.4608948087432
"127",2005,8.11206240487062
"128",2006,8.08388508371385
"129",2007,15.4145357686454
"130",2008,11.6375037947784
"131",2009,8.06284246575343
"132",2010,6.72530441400304
"133",2011,12.1888318112633
"134",2012,10.574093047966
"135",2013,8.21993911719939
"136",2014,12.5889891834247
"137",2015,19.1568265682657
